"BWB id"	"Titel"
"BWBR0002318"	"Besluit van 4 juni 1959, houdende instelling van een bedrijfschap voor de industrie van en de groothandel in koolzuurhoudende alcoholvrije dranken en de groothandel in bier"
"BWBR0002320"	"Algemene Wet Rijksbelastingen"
"BWBR0002320"	"AWR 1959"
"BWBR0002320"	"Awr"
"BWBR0002326"	"Rijkswachtgeldbesl."
"BWBR0002326"	"Rijkswachtgeldbesl. 1959"
"BWBR0002351"	"Dierenbeschermingswet"
"BWBR0002351"	"Wet Dierenbescherming"
"BWBR0002356"	"Cassatiereg. Ned. Antillen"
"BWBR0002356"	"Cassatiereg. Ned. Antillen en Aruba"
"BWBR0002356"	"Rijkswet van 20 juli 1961, houdende de Cassatieregeling voor de Nederlandse Antillen"
"BWBR0002359"	"KSP"
"BWBR0002361"	"Uitv.w Verdrag van New York onderhoudsverhaal buitenland"
"BWBR0002361"	"Uitv.w Verdrag van New York onderhoudsverhaal buitenland 1956"
"BWBR0002367"	"Wet op de RvSt"
"BWBR0002367"	"Wet RvSt"
"BWBR0002370"	"Wet houdende instelling van een Bijstandkorps van burgerlijke rijksambtenaren, dat bestemd is voor dienst in Nederlands-Nieuw Guinea"
"BWBR0002374"	"WRA"
"BWBR0002379"	"Wet van 22 mei 1991"
"BWBR0002380"	"Bestrijdingsmiddelenwet"
"BWBR0002394"	"Besl. 19 dec. 1962 Stb. 585"
"BWBR0002404"	"Besl. uitoefening artsenijbereidkunst"
"BWBR0002405"	"Regeling van 27 maart 1963, ter uitvoering van artikel 60 van de Luchtvaartwet"
"BWBR0002408"	"Uitvoerbesl. strategische goederen"
"BWBR0002408"	"Uitvoerbesl. strategische goederen 1963"
"BWBR0002414"	"Wet Samenloopreg. Indonesische Pensioenen 1960"
"BWBR0002415"	"Wet aansprakelijkheidsverzekering motor-rijtuigen"
"BWBR0002415"	"Wet aansprakelijkheidsverzekering motorvoertuigen"
"BWBR0002416"	"Visserijwet"
"BWBR0002429"	"Besl. tarieven in strafzaken"
"BWBR0002430"	"Besl. tarieven in burgerlijke zaken"
"BWBR0002430"	"Tarief burgerlijke zaken"
"BWBR0002444"	"Regl. kamer binnenvisserij 1964"
"BWBR0002444"	"Reglement Kamer voor de Binnenvisserij"
"BWBR0002452"	"Overgangswet RO"
"BWBR0002452"	"Overgangswet ROV"
"BWBR0002452"	"Overgangswet Ruimtelijke Ordening"
"BWBR0002453"	"Uitv.w Genocideverdrag"
"BWBR0002459"	"Besl. kennisgevingen aansprakelijkheidsverz. motorrijtuigen"
"BWBR0002460"	"ZWF"
"BWBR0002460"	"ZFW 1964"
"BWBR0002460"	"Zfw"
"BWBR0002463"	"Besluit van 27 oktober 1964, houdende vaststelling van het Besluit bedragen aansprakelijkheidsverzekering motorrijtuigen"
"BWBR0002464"	"BRK BRK"
"BWBR0002465"	"Besch. gewetensbezwaren militaire dienst"
"BWBR0002465"	"Besl. gewetensbezwaren militaire dienst"
"BWBR0002469"	"Wet Kansspelen"
"BWBR0002471"	"Wet op de loonbelasting"
"BWBR0002471"	"LB 1964"
"BWBR0002473"	"Uitv.besl. AWR"
"BWBR0002474"	"Mijnreglement"
"BWBR0002474"	"Mijnregl. 1964"
"BWBR0002481"	"Uitv.w Executieverdrag Ned-BRD"
"BWBR0002489"	"Uitv.besl. LB"
"BWBR0002489"	"Uitv.besl. LB 1964"
"BWBR0002489"	"Uitv.besl. LB 1965"
"BWBR0002494"	"Besl. bedrijfsspaarreg."
"BWBR0002496"	"Koninklijk besluit van 16 juli 1965 inzake vlees uit andere lidstaten"
"BWBR0002497"	"Besluit van 16 juli 1965, tot regeling van het valschermspringen uit zich in de lucht bevindende militaire luchtvaartuigen"
"BWBR0002501"	"Schepenbesl."
"BWBR0002501"	"Schepenbesl. 1965"
"BWBR0002505"	"OG"
"BWBR0002505"	"Ogw"
"BWBR0002515"	"DB 1965"
"BWBR0002515"	"Div.B"
"BWBR0002515"	"Div.B 1965"
"BWBR0002515"	"Div.Bel 1965"
"BWBR0002516"	"Aanw.besl. verplicht verzekerden ZFW"
"BWBR0002516"	"Aanwijzingsbesluit verplicht verzekerden Ziekenfondswet"
"BWBR0002516"	"Aanwijzingsbesluit verzekerden Ziekenfondswet"
"BWBR0002516"	"Besluit van 23 december 1965, houdende vaststelling van een algemene maatregel van bestuur als bedoeld in artikel 3, eerste lid, onderdeel d, van de Ziekenfondswet"
"BWBR0002518"	"Inschrijvingsbesl. ziekenfondsverz."
"BWBR0002520"	"Verstrekkingenbesl. ZFW"
"BWBR0002520"	"Verstrekkingenbesl. ziekenfondsverz."
"BWBR0002520"	"Verstrekkingenbesluit"
"BWBR0002520"	"Verstrekkingenbesluit ziekenfondsverzekeringen"
"BWBR0002520"	"Verstrekkingsbesluit Ziekenfondsverzekering"
"BWBR0002524"	"Wet arbeidsongeschiktheidsverzekering"
"BWBR0002526"	"Regl. op de raccordementen 1966"
"BWBR0002529"	"Besl. nadere reg. inschrijving ziekenfondsverz."
"BWBR0002534"	"MRB 1966"
"BWBR0002534"	"MB 1966"
"BWBR0002551"	"Wet Overgangsreg. Arbeidsongeschiktheidsverz."
"BWBR0002559"	"UW 1967"
"BWBR0002564"	"Mijnregl. continentaal plat"
"BWBR0002565"	"Invoeringswet Boek 1 NBW"
"BWBR0002565"	"Invoeringswet Boek 2 NBW"
"BWBR0002565"	"Invoeringswet NBW"
"BWBR0002565"	"ONBW"
"BWBR0002565"	"Overgangswet BW"
"BWBR0002565"	"Overgangswet Nieuw BW"
"BWBR0002565"	"OW NBW"
"BWBR0002565"	"OwNBW"
"BWBR0002565"	"Ow NBW"
"BWBR0002574"	"Toeslagreg. pensioenen Suriname en Ned. Antillen"
"BWBR0002611"	"Nbw 1967"
"BWBR0002611"	"Wet van 15 november 1967, houdende voorzieningen in het belang van de natuurbescherming Vervangen door Natuurbeschermingswet 1998 (1998)"
"BWBR0002620"	"Besl. liberalisatie huurbeleid II"
"BWBR0002628"	"Leerplichtwet"
"BWBR0002629"	"OB 1968"
"BWBR0002633"	"Uitv.besl."
"BWBR0002633"	"Uitv.besl. OB"
"BWBR0002633"	"Uitv.besl. OB 1968"
"BWBR0002634"	"Uitv besch OB"
"BWBR0002634"	"Uitv.besch. OB 1968"
"BWBR0002636"	"BUAOB"
"BWBR0002638"	"Wet minimumloon"
"BWBR0002638"	"Wet minimumloon en minimum vakantiebijslag"
"BWBR0002638"	"Wet minimumloon en minimumvakantietoeslag"
"BWBR0002638"	"WMM"
"BWBR0002638"	"Wmm"
"BWBR0002645"	"Kostenwet"
"BWBR0002645"	"Kostenwet Inv."
"BWBR0002667"	"Besl. kerninstallaties, splijtstoffen en ertsen"
"BWBR0002667"	"Besluit Kerninstallaties"
"BWBR0002668"	"Besluit vervoer splijtstoffen"
"BWBR0002668"	"Besluit vervoer splijtstoffen en radioactieve stoffen"
"BWBR0002669"	"Besluit van 23 september 1969, houdende vaststelling van de modellen van de monsterrol ter uitvoering van artikel 6 van het Schepelingenbesluit"
"BWBR0002672"	"Wet VPB"
"BWBR0002672"	"Wet Vpb"
"BWBR0002672"	"Vpb 1968"
"BWBR0002672"	"Vpb 1969"
"BWBR0002682"	"Wvo"
"BWBR0002697"	"Wet Medische Hulpmiddelen"
"BWBR0002698"	"WL"
"BWBR0002715"	"KB 19 juni 1970 Stb. 293"
"BWBR0002731"	"Wet luchtverontreiniging"
"BWBR0002743"	"Organiek besl. rijkswaterstaat"
"BWBR0002754"	"Wet Instelling Gem. Dronten"
"BWBR0002760"	"Besl. liberalisatie huurbeleid VI"
"BWBR0002768"	"Geheimhoudingsbesl. Kernenergiewet"
"BWBR0002770"	"Uitv.besl. BR"
"BWBR0002770"	"Uitv.besl. BRV"
"BWBR0002770"	"Uitv.besl WBRV"
"BWBR0002770"	"Uitv.besl. WBRV"
"BWBR0002772"	"Uitv.besch. Reg.w 1970"
"BWBR0002777"	"Besl. reg. vergoeding bijzondere ziektekostenverz."
"BWBR0002781"	"Rijksreg. ontgrondingen"
"BWBR0002781"	"Rijksregl. ontgrondingen"
"BWBR0002782"	"Vrijstellingsbesl. Vpb"
"BWBR0002782"	"Vrijstellingsbesl. Vpb 1971"
"BWBR0002784"	"Uitv.besch. Vpb 1971"
"BWBR0002786"	"Uitv.besl. Vpb 1971"
"BWBR0002795"	"Besluit van 13 december 1971, houdende vaststelling van het Besluit bindende rassenlijst landbouwgewassen"
"BWBR0002805"	"Wet 11 maart 1972 Stb. 145"
"BWBR0002815"	"Uitv.w EEX-Verdrag"
"BWBR0002824"	"Besl. liberalisatie huurbeleid VII"
"BWBV0004663"	"EEX-Verdrag"
"BWBR0002830"	"BPRW"
"BWBR0002830"	"WVDBPR"
"BWBR0002840"	"Besluit van 1 november 1972, houdende vaststelling van een vergoeding als bedoeld in artikel 4a, vierde lid, van de Wet op de bezoldiging van de rechterlijke ambtenaren (Stb. 1957, 534)"
"BWBR0002844"	"Wuv"
"BWBR0002844"	"WUV 1940-1945"
"BWBR0002845"	"Wet Financieel Statuut Koninklijk Huis"
"BWBR0002855"	"Besl. 13 dec. 1972 Stb. 747"
"BWBR0002857"	"Dagloonregelen WAMIL"
"BWBR0002857"	"Dagloonregelen WAMIL 1972"
"BWBR0002857"	"Besch. dagloonregelen WAMIL 1972"
"BWBR0002887"	"Tijdelijke Wet Huurkoop Onroerend Goed"
"BWBR0002892"	"Besluit van 15 augustus 1973, houdende vaststelling van een reglement van politie voor het rijkspontveer over het kanaal van Terneuzen te Sluiskil"
"BWBR0002924"	"Reprobesl."
"BWBR0002938"	"RKR"
"BWBR0002944"	"Wet 30 okt. 1974 Stb. 700"
"BWBR0002946"	"Uitv.besl. WVOW"
"BWBR0002946"	"Uitvoeringsbesluit art. 1 lid 3 Wvo"
"BWBR0002946"	"Uitvoeringsbesluit artikel 1 derde lid Wvo"
"BWBR0002946"	"Uitvoeringsbesluit artikel 1 lid 3 Wet verontreiniging oppervlaktewateren"
"BWBR0002946"	"Uitvoeringsbesluit artikel 1, derde lid, van de Wet verontreiniging oppervlaktewateren"
"BWBR0002946"	"Uitvoeringsbesluit Wet verontreiniging oppervlaktewateren"
"BWBR0002946"	"Uitvoeringsbesluit WVO"
"BWBR0002946"	"Besluit ter uitvoering van art. 1 lid 3 Wet verontreiniging oppervlaktewateren (Uitvoeringsbesluit)"
"BWBR0002951"	"Uitv.w Haags Betekeningsverdrag"
"BWBR0002951"	"Uitv.w Haags Betekeningsverdrag 1965"
"BWBR0002957"	"Wet van 26 februari 1975, houdende tijdelijke regelen aangaande de als categorieën van inrichtingen of als verstrekkingen aangewezen vormen van maatschappelijke dienstverlening ingevolge de Algemene Wet Bijzondere Ziektekosten"
"BWBR0002965"	"Besl. ongeregeld luchtvaartverkeer"
"BWBR0002965"	"Besl. ongeregeld luchtvervoer"
"BWBR0002996"	"Besl. schadefonds geweldsmisdrijven"
"BWBR0003025"	"Besluit van 19 maart 1976, tot uitvoering van artikel 51 van de Wet op het consumptief geldkrediet"
"BWBR0003037"	"Besluit van 22 juni 1976, tot vaststelling van een algemene maatregel van bestuur ter uitvoering van artikel 29, zesde en zevende lid, van Boek 2 van het Burgerlijk Wetboek"
"BWBR0003052"	"Wet Positie Molukkers"
"BWBR0003060"	"Besl. 18 okt. 1976 Stb. 509"
"BWBR0003064"	"KB 19 okt. 1976 Stb. 526"
"BWBR0003081"	"Wet Dierproeven"
"BWBR0003086"	"Besluit van 27 januari 1977, houdende verkorting van de duur van de gewone vervangende dienst, als bedoeld in de Wet gewetensbezwaren militaire dienst"
"BWBR0003088"	"Besluit van 1 februari 1977"
"BWBR0003114"	"Besl. registratie geneesmiddelen"
"BWBR0003115"	"Meststoffenbesl. 1977"
"BWBR0003115"	"Meststoffenbesluit"
"BWBR0003122"	"Meststoffenbesch. 1977"
"BWBR0003122"	"Meststoffenbeschikking"
"BWBR0003143"	"Overeenkomst Herinrichting Oost-Groningen/Gronings-Drentse veenkoloniën"
"BWBR0003144"	"Reglement zee- en kustvisserij"
"BWBR0003144"	"Regl. zee- en kustvisserij"
"BWBR0003144"	"Regl. zee- en kustvisserij 1977"
"BWBR0003144"	"Regl. zee- en kustvisserij 1984"
"BWBR0003189"	"KB 8 juli 1978 Stb. 422"
"BWBR0003195"	"KB 5 sept. 1978 Stb. 552"
"BWBR0003200"	"Landbouwkwaliteitsbesl. scharreleieren"
"BWBR0003222"	"Wet Huurcommissies"
"BWBR0003227"	"WG"
"BWBR0003237"	"Besl. huurprijzen woonruimte"
"BWBR0003237"	"Bhw"
"BWBR0003244"	"Besch. ABC-vluchten"
"BWBR0003245"	"WM"
"BWBR0003245"	"Wmb"
"BWBR0003245"	"WMb"
"BWBR0003255"	"Besluit uitzondering toestemmingsprocedures WZV"
"BWBR0003257"	"Besl. aanwijzing inrichtingen WZV"
"BWBR0003268"	"Kokswarenbesl. (Warenwet)"
"BWBR0003284"	"Besl. experiment flexibel uittreden PTT-personeel"
"BWBR0003288"	"Min. Besch. 23 jan. 1980 nr. 55826"
"BWBR0003299"	"Wet Gelijke Behandeling"
"BWBR0003299"	"Wet Gelijke Behandeling m/v"
"BWBR0003299"	"WGB"
"BWBR0003336"	"Besluit ziekenvervoer ziekenfondsverzekering"
"BWBR0003336"	"Besl. ziekenvervoer ziekenfondsverz."
"BWBR0003336"	"Besl. ziekenvervoer ziekenfondsverz. 1980"
"BWBR0003341"	"Besluit van 5 september 1980, houdende toepassing van artikel 1, derde lid, van de Wet op de Geneesmiddelenvoorziening (Stb. 1958, 408) op de farmaceutische specialité Vasolastine"
"BWBR0003360"	"In- en uitvoerbesl. landbouwgoederen 1980"
"BWBR0003360"	"In- en uitvoerbesl. landbouwgoederen 1981"
"BWBR0003362"	"Uitv.w Bewijsverdrag"
"BWBR0003372"	"Wno"
"BWBR0003372"	"Wet N.o."
"BWBR0003372"	"Wet NO"
"BWBR0003384"	"Wet Conflictenrecht Echtscheiding"
"BWBR0003403"	"Leegstandswet"
"BWBR0003404"	"Besluit houdende vaststelling van enige regels ter beperking van de geluidhinder door luchtvaartuigen"
"BWBR0003404"	"Besl. 21 mei 1981 Stb. 343"
"BWBR0003405"	"Besl. 22 mei 1981 Stb. 344"
"BWBR0003406"	"Grondwaterwet  aanhef en onder b"
"BWBR0003406"	"Gww."
"BWBR0003412"	"Wet Beheersing Huisvestingsvoorzieningen KO/LO"
"BWBR0003448"	"Invoerbesl. landen 1981"
"BWBR0003454"	"Alg. regl. stadsspoorwegen"
"BWBR0003459"	"Besl. grenswaarden binnen zones langs wegen"
"BWBR0003482"	"Algemeen Militair Ambtenaren Reglement"
"BWBR0003501"	"Besluit van 9 juni 1982, omtrent het regiem voor militairen die in het huis van bewaring en de gevangenis het Militair Penitentiair Centrum Nieuwersluis voorlopig arrest, respectievelijk gevangenisstraf, hechtenis of militaire detentie ondergaan"
"BWBR0003508"	"Besl. grenswaarden binnen zones rond industrieterreinen"
"BWBR0003511"	"Besl. gezinsvervangende tehuizen 1984"
"BWBR0003511"	"Besluit erkenningsnormen Gezinsvervangende Tehuizen"
"BWBR0003513"	"Meet- en rekenvoorschrift Hfst. V Wet Geluidhinder"
"BWBR0003522"	"Wet invoering middelbaar dienstverlenings- en gezondheidszorgonderwijs"
"BWBR0003522"	"Wet Invoering Middelbaar Dienstverlenings- en Gezondheidszorg-Onderwijs"
"BWBR0003523"	"Wet 14 okt. 1982 Stb. 589"
"BWBR0003526"	"Besluit vaarbewijzen binnenwateren"
"BWBR0003534"	"Besluit van 10 november 1982, houdende de aanwijzing van representatieve organisaties, voor de benoeming van de leden en de plaatsvervangende leden van de Nationale Raad voor de Volksgezondheid"
